gender,forehead_chin,left_ear_right_ear,height,weight,age
1,67.1863081289633,56.0357029044876,6.2,84,34
0,47.67598976424087,36.345563690772494,5.8,53,50
0,58.137767414994535,51.03920062069938,5.10,56,30
0,61.66036003787198,47.51841748206689,5.10,63,36
1,101.71037311896953,48.093658625644196,6.4,86,39
0,119.01680553602503,73.24616030891995,5.10,54,36
0,91.19758768739445,64.0,5.10,52,33
0,41.10960958218893,26.476404589747453,5.6,61,44
1,131.38112497615478,113.1591799192624,6,85,48
0,62.80127387243033,31.78049716414141,5.7,58,42
1,44.28317965096906,39.05124837953327,6.1,96,50
0,78.44743462982075,81.61494961096282,5.5,55,49
1,86.28441342444185,66.0,5.11,76,41
0,39.05124837953327,18.0,5.7,54,38
0,43.04648650006177,36.0,5.1,50,55
0,165.0605949341029,191.1674658512792,5.2,62,42
0,105.30432089900205,80.00624975587844,5.8,0,37
0,145.00344823486094,103.00485425454472,5.6,55,53
0,63.00793600809346,74.10802925459562,5.7,58,44
1,48.093658625644196,31.064449134018133,5.9,73,41
1,74.14849964766651,62.20128616033595,6,75,28
0,70.178344238091,47.0,6.4,103,88
0,73.02739212103907,54.037024344425184,5.10,53,45
1,40.01249804748511,25.179356624028344,0,0,63
1,41.0,34.0147027033899,5.8,0,42
0,82.28000972289685,115.03912377969506,5.3,56,38
1,106.06601717798213,79.76214641043707,6,90,59
1,74.04052944165107,91.0823802938856,5.9,110,44
1,67.02984409947557,50.00999900019995,6,75,83
1,57.0701322935211,42.190046219457976,5.6,62,36
0,70.34912934784623,90.00555538409837,5.2,48,34
1,43.104524124504614,33.06055050963308,6,0,36
0,73.76313442364011,51.97114584074513,5.4,54,47
0,44.01136216933077,21.37755832643195,5.3,53,41
1,67.06713054842886,57.07889277132134,6.1,92,37
0,32.0624390837628,22.090722034374522,5.8,66,32
0,106.07544484940895,98.02040603874276,5.2,53,45
0,87.20665112249179,71.449282711585,5.6,55,44
1,40.01249804748511,17.029386365926403,5.9,68,43
0,68.73136110975832,69.35416353759881,5.4,62,48
0,32.14031735997639,24.331050121192877,5.10,65,43
0,67.0,76.32168761236873,5.7,53,55
